2022-09-01 09:10:26,891 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-09-01 09:14:46,035 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2022-09-01 09:14:48,688 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.ac.kopo:handmail:1.0.0 @ C:\Users\Student\Desktop\SJH\JAVA_PROJECTS\teamproject\workspace\kr.ac.kopo.handmail\pom.xml.
2022-09-01 09:14:54,116 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /kr.ac.kopo.handmail/src/main/java
2022-09-01 09:14:54,117 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /kr.ac.kopo.handmail/src/main/resources
2022-09-01 09:14:54,127 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /kr.ac.kopo.handmail/src/test/java
2022-09-01 09:14:54,128 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /kr.ac.kopo.handmail/src/test/resources
2022-09-01 09:14:57,182 [main] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for kr.ac.kopo.handmail
2022-09-01 09:14:57,293 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 11 sec
2022-09-01 09:15:07,338 [Worker-2: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.ac.kopo:handmail:1.0.0 @ C:\Users\Student\Desktop\SJH\JAVA_PROJECTS\teamproject\workspace\kr.ac.kopo.handmail\pom.xml.
2022-09-01 09:15:07,689 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-01 09:15:07,702 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 109 resources
2022-09-01 09:15:08,229 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-01 09:15:08,231 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-01 09:15:08,232 [Worker-15: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of kr.ac.kopo.handmail
2022-09-01 09:15:08,233 [Worker-15: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for kr.ac.kopo.handmail
2022-09-01 09:15:08,237 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-01 09:15:32,599 [Worker-14: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-01 09:15:32,602 [Worker-14: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-09-01 09:15:32,603 [Worker-14: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-09-01 09:15:32,604 [Worker-14: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
