127.0.0.1 - - [01/Sep/2022:09:21:09 +0900] "GET / HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:15 +0900] "GET / HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /cmm/main/mainPage.do;jsessionid=B4F86A2ECF2C2822DC1BB9C30A23C2D3 HTTP/1.1" 200 8009
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /css/common.css HTTP/1.1" 200 22158
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /images/index/main_titleimage.gif HTTP/1.1" 200 22935
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /images/question.jpg HTTP/1.1" 200 19067
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /images/header/logo.jpg HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /images/index/img_subtitle01.gif HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /images/index/btn_more.gif HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /images/index/img_subtitle02.gif HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /images/index/img_product.gif HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /images/index/img_service.gif HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /images/index/img_download.gif HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /images/index/img_location.gif HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /images/index/img_vline.gif HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:17 +0900] "GET /images/index/img_service_btm.gif HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:18 +0900] "GET /images/footer/img_mois.png HTTP/1.1" 200 5069
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:18 +0900] "GET /images/index/img_schedule.gif HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:18 +0900] "GET /images/header/img_loginright_leftbg.gif HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:18 +0900] "GET /images/header/img_loginright_middlebg.gif HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:18 +0900] "GET /images/footer/img_nia.png HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:18 +0900] "GET /images/header/img_loginright_rightbg.gif HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:18 +0900] "GET /images/index/bg_bottom.gif HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:18 +0900] "GET /favicon.ico HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:22 +0900] "GET /uat/uia/egovLoginUsr.do HTTP/1.1" 200 11037
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:22 +0900] "GET /css/login.css HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:22 +0900] "GET /images/subtitle/img_subtitle_login.gif HTTP/1.1" 200 44170
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:22 +0900] "GET /images/login/btn_login.gif HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:22 +0900] "GET /images/login/img_pwtext.gif HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:22 +0900] "GET /images/leftmenu/leftmenu_top.gif HTTP/1.1" 200 8244
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:22 +0900] "GET /images/login/img_idtext.gif HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:22 +0900] "GET /images/leftmenu/leftmenu_repeat.gif HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:22 +0900] "GET /images/leftmenu/bl_depth01.gif HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:22 +0900] "GET /images/leftmenu/leftmenu_bottom.gif HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:22 +0900] "GET /images/bl_grayarrow.gif HTTP/1.1" 200 46
